order_number,date_order,partner_id,company_id,partner_invoice_id,partner_shipping_id,pricelist_id,order_line/product_id,order_line/product_uom_qty,order_line/price_unit
41,2025-02-26 08:51:21,7648,1,7648,7648,9,8376,145.0,47.8
41,2025-02-26 08:51:21,7648,1,7648,7648,9,9680,96.0,8.5
41,2025-02-26 08:51:21,7648,1,7648,7648,9,8388,143.0,1.0
39,2025-02-25 14:34:43,7648,1,7648,7648,9,8376,145.0,47.8
39,2025-02-25 14:34:43,7648,1,7648,7648,9,9680,96.0,8.5
39,2025-02-25 14:34:43,7648,1,7648,7648,9,8388,143.0,1.0
38,2025-02-25 14:34:32,7648,1,7648,7648,9,8376,1.0,20.0
37,2025-02-25 14:13:18,7648,1,7648,7648,9,8376,145.0,47.8
37,2025-02-25 14:13:18,7648,1,7648,7648,9,9680,96.0,8.5
37,2025-02-25 14:13:18,7648,1,7648,7648,9,8388,143.0,30.0
33,2025-02-25 09:54:05,11,1,31,31,1,27,1.0,25.0
28,2025-02-25 09:54:04,11,1,31,31,1,19,1.0,1799.0
16,2025-02-25 09:53:15,11,1,31,31,1,31,3.0,275.0
16,2025-02-25 09:53:15,11,1,31,31,1,25,3.0,120.5
14,2025-02-25 09:53:15,11,1,31,31,1,31,4.0,275.0
14,2025-02-25 09:53:15,11,1,31,31,1,25,4.0,120.5
13,2025-02-25 09:53:15,11,1,31,31,1,31,1.0,295.0
13,2025-02-25 09:53:15,11,1,31,31,1,25,1.0,120.5
12,2025-02-25 09:53:15,11,1,31,31,1,31,1.0,315.0
12,2025-02-25 09:53:15,11,1,31,31,1,25,2.0,120.5
10,2025-02-25 09:53:15,11,1,31,31,1,31,2.0,255.0
10,2025-02-25 09:53:15,11,1,31,31,1,25,2.0,120.5
8,2025-02-25 09:53:15,11,1,31,31,1,32,2.0,110.5
8,2025-02-25 09:53:15,11,1,31,31,1,25,2.0,120.5
7,2025-02-25 09:53:15,11,1,23,23,1,31,5.0,295.0
7,2025-02-25 09:53:15,11,1,23,23,1,35,1.0,173.0
7,2025-02-25 09:53:15,11,1,23,23,1,6,1.0,40.0
7,2025-02-25 09:53:15,11,1,23,23,1,5,1.0,18.0
6,2025-02-25 09:53:15,15,1,15,15,1,12,1.0,750.0
4,2025-02-25 09:53:14,11,1,31,31,1,3,16.0,75.0
4,2025-02-25 09:53:14,11,1,31,31,1,6,10.0,45.0
4,2025-02-25 09:53:14,11,1,31,31,1,34,3.0,150.0
4,2025-02-25 09:53:14,11,1,31,31,1,5,2.0,70.0
32,2025-02-25 08:54:05,11,1,31,31,1,19,1.0,1799.0
27,2025-02-24 09:54:04,11,1,31,31,1,19,1.0,1349.0
26,2025-02-23 09:54:04,11,1,31,31,1,19,1.0,1599.0
25,2025-02-22 09:54:04,11,1,31,31,1,12,3.0,349.0
24,2025-02-21 09:54:04,11,1,31,31,1,19,1.0,1199.0
23,2025-02-20 09:54:04,11,1,31,31,1,12,1.0,750.0
22,2025-02-19 09:54:04,11,1,31,31,1,12,1.0,900.0
21,2025-02-18 09:54:04,11,1,31,31,1,17,1.0,599.0
9,2025-02-18 09:53:15,11,1,31,31,1,32,3.0,97.5
9,2025-02-18 09:53:15,11,1,31,31,1,25,3.0,120.5
15,2025-02-11 09:53:15,11,1,31,31,1,31,4.0,295.0
15,2025-02-11 09:53:15,11,1,31,31,1,25,3.0,120.5
11,2025-02-04 09:53:15,11,1,31,31,1,31,3.0,245.0
11,2025-02-04 09:53:15,11,1,31,31,1,25,3.0,120.5
17,2025-01-28 09:53:15,11,1,31,31,1,31,2.0,355.0
17,2025-01-28 09:53:15,11,1,31,31,1,25,2.0,120.5
34,2025-01-25 09:54:05,11,1,31,31,1,19,2.0,1799.0
20,2025-01-25 09:53:15,8,1,8,8,1,3,24.0,75.0
20,2025-01-25 09:53:15,8,1,8,8,1,4,30.0,38.25
19,2025-01-25 09:53:00,8,1,8,8,1,31,3.0,295.0
19,2025-01-25 09:53:00,8,1,8,8,1,6,5.0,145.0
19,2025-01-25 09:53:00,8,1,8,8,1,5,2.0,65.0
18,2025-01-21 09:53:15,11,1,31,31,1,31,2.0,295.0
18,2025-01-21 09:53:15,11,1,31,31,1,25,2.0,120.5
