"mobile_app_order_ref","id","name","state","note"
"45","135574","OV/25/000488","sale",""
"43","135577","OV/25/000491","sale",""
"41","135578","OV/25/000492","sale",""
"40","135579","OV/25/000493","sale",""
"37","135583","OV/25/000497","sale",""
"26","135593","OV/25/000507","sale",""
"47","135617","OV/25/000510","sale",""
"46","135618","OV/25/000511","sale",""
"44","588","","error","Aziende non compatibili nei record:
- 'OV/25/000592 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"42","589","","error","Il record non esiste oppure è stato eliminato.
(Record: product.product(3,), Utente: 1)"
"39","590","","error","Il record non esiste oppure è stato eliminato.
(Record: product.product(3,), Utente: 1)"
"38","591","","error","Il record non esiste oppure è stato eliminato.
(Record: product.product(3,), Utente: 1)"
"34","592","","error","Il record non esiste oppure è stato eliminato.
(Record: product.product(3,), Utente: 1)"
"33","595","","error","Aziende non compatibili nei record:
- 'OV/25/000599 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"32","596","","error","Aziende non compatibili nei record:
- 'OV/25/000600 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"31","597","","error","Aziende non compatibili nei record:
- 'OV/25/000601 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"30","598","","error","Aziende non compatibili nei record:
- 'OV/25/000602 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"29","599","","error","Aziende non compatibili nei record:
- 'OV/25/000603 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"28","600","","error","Aziende non compatibili nei record:
- 'OV/25/000604 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"27","601","","error","Aziende non compatibili nei record:
- 'OV/25/000605 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"25","602","","error","Aziende non compatibili nei record:
- 'OV/25/000606 - MERCE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'MERCE') appartiene a un'altra azienda."
"36","593","","error","Aziende non compatibili nei record:
- 'OV/25/000597 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"24","603","","error","Aziende non compatibili nei record:
- 'OV/25/000607 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"21","604","","error","Aziende non compatibili nei record:
- 'OV/24/031806 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"22","605","","error","Aziende non compatibili nei record:
- 'OV/24/031807 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"20","606","","error","Aziende non compatibili nei record:
- 'OV/24/031808 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"19","607","","error","Aziende non compatibili nei record:
- 'OV/24/031809 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"18","608","","error","Aziende non compatibili nei record:
- 'OV/24/031810 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"17","609","","error","Aziende non compatibili nei record:
- 'OV/24/031811 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda.
- 'OV/24/031811 - MERCE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'MERCE') appartiene a un'altra azienda."
"16","610","","error","Aziende non compatibili nei record:
- 'OV/24/031812 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda.
- 'OV/24/031812 - MERCE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'MERCE') appartiene a un'altra azienda."
"14","611","","error","Aziende non compatibili nei record:
- 'OV/24/031813 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda.
- 'OV/24/031813 - MERCE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'MERCE') appartiene a un'altra azienda."
"35","594","","error","Aziende non compatibili nei record:
- 'OV/25/000598 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"13","612","","error","Aziende non compatibili nei record:
- 'OV/24/031814 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
"12","613","","error","Aziende non compatibili nei record:
- 'OV/24/031815 - VARIE' appartiene all'azienda 'Primapaint Srl' e 'Prodotto' (product_id: 'VARIE') appartiene a un'altra azienda."
