id	name	discount_policy	item_ids/product_tmpl_id	item_ids/product_id	item_ids/categ_id	item_ids/min_quantity	item_ids/applied_on	item_ids/base	item_ids/base_pricelist_id	item_ids/price_surcharge	item_ids/price_round	item_ids/price_min_margin	item_ids/price_max_margin	item_ids/date_start	item_ids/date_end	item_ids/compute_price	item_ids/fixed_price	item_ids/percent_price	item_ids/discount1	item_ids/discount2	item_ids/discount3	item_ids/price_discount
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	11186	10153		1440	0_product_variant	list_price						2022-10-04 00:00:00		percentage		44.88				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount		1667		960	0_product_variant	list_price						2023-03-31 22:00:00		percentage		49.33				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	11187	10154		720	0_product_variant	list_price						2023-05-21 22:00:00		percentage		44.8				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	12977	11947		600	0_product_variant	list_price						2023-03-27 22:00:00		percentage		37.81				
215	LISTINO CALA GALERA	without_discount	2666	1667		480	0_product_variant	list_price						2023-03-31 22:00:00		percentage		44.59				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount		1332		480	0_product_variant	list_price						2023-03-31 22:00:00		percentage		49.1				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount		263		480	0_product_variant	list_price						2023-03-31 22:00:00		percentage		49.05				
215	LISTINO CALA GALERA	without_discount	11187	10154		240	0_product_variant	list_price						2023-10-31 08:18:23		percentage		28.34				
172	LISTINO DIEFFE	without_discount	11187	10154		240	0_product_variant	list_price						2023-05-21 22:00:00		percentage		28.34				
172	LISTINO DIEFFE	without_discount	12977	11947		240	0_product_variant	list_price						2023-03-27 22:00:00		percentage		33				
215	LISTINO CALA GALERA	without_discount	2331	1332		240	0_product_variant	list_price						2023-03-31 22:00:00		percentage		44.44				
215	LISTINO CALA GALERA	without_discount	12977	11947		200	0_product_variant	list_price						2023-10-31 08:14:38		percentage		33				
3	01 Corrispettivi Banco Top	without_discount	5333	4334		144	0_product_variant	list_price						2022-12-31 23:00:00		percentage		13.5				
5	01 Corrispettivi Banco Top	without_discount	5333	4334		144	0_product_variant	list_price						2022-12-31 23:00:00		percentage		13.5				
3	01 Corrispettivi Banco Top	without_discount	5332	4333		144	0_product_variant	list_price						2022-12-31 23:00:00		percentage		13.5				
5	01 Corrispettivi Banco Top	without_discount	5332	4333		144	0_product_variant	list_price						2022-12-31 23:00:00		percentage		13.5				
3	01 Corrispettivi Banco Top	without_discount		1667		144	0_product_variant	list_price						2024-01-31 23:00:00		percentage		47.8				
5	01 Corrispettivi Banco Top	without_discount		1667		144	0_product_variant	list_price						2024-01-31 23:00:00		percentage		47.8				
5	01 Corrispettivi Banco Top	without_discount	15975	14945		100	0_product_variant	list_price						2023-03-02 11:40:29		percentage		8				
5	01 Corrispettivi Banco Top	without_discount	15974	14944		100	0_product_variant	list_price						2023-03-02 11:40:12		percentage		8				
